origin,dest,count,year
1,20,11856,2026
2,20,1657,2026
5,20,30595,2026
6,20,11935,2026
9,20,33,2026
10,20,2726,2026
11,20,100,2026
12,20,7813,2026
13,20,7458,2026
18,20,4652,2026
1,25,44544,2026
2,25,7254,2026
5,25,125877,2026
6,25,41743,2026
9,25,55,2026
10,25,8182,2026
11,25,5805,2026
12,25,24329,2026
13,25,31914,2026
18,25,17967,2026
1,23,14635,2026
2,23,2356,2026
5,23,41361,2026
6,23,13697,2026
9,23,20,2026
10,23,2662,2026
11,23,2871,2026
12,23,7012,2026
13,23,10468,2026
18,23,6083,2026
1,26,32735,2026
2,26,5353,2026
5,26,92393,2026
6,26,30641,2026
9,26,30,2026
10,26,6254,2026
11,26,10256,2026
12,26,12074,2026
13,26,23443,2026
18,26,12987,2026
1,24,7204,2026
2,24,1150,2026
5,24,20416,2026
6,24,6752,2026
10,24,1517,2026
11,24,2065,2026
12,24,3001,2026
13,24,5158,2026
18,24,3104,2026
1,19,8055,2026
2,19,1274,2026
5,19,22932,2026
6,19,7566,2026
9,19,28,2026
10,19,1618,2026
11,19,1556,2026
12,19,4090,2026
13,19,5774,2026
18,19,3646,2026
1,21,1568,2026
2,21,257,2026
5,21,4430,2026
6,21,1469,2026
10,21,291,2026
11,21,529,2026
12,21,531,2026
13,21,1123,2026
18,21,628,2026
1,22,2075,2026
2,22,7,2026
5,22,130,2026
6,22,43,2026
9,22,2,2026
10,22,146,2026
12,22,30,2026
13,22,32,2026
18,22,195,2026
2,31,474,2026
3,31,10,2026
5,31,217,2026
6,31,155,2026
7,31,35,2026
10,31,15,2026
11,31,115,2026
13,31,15,2026
1,29,1840,2026
2,29,41835,2026
1,28,5,2026
2,28,150,2026
3,28,17,2026
4,28,29,2026
5,28,29,2026
2,30,470,2026
2,33,4282,2026
1,7,9766,2026
2,7,2276,2026
5,7,5072,2026
6,7,9665,2026
7,7,9859,2026
8,7,20,2026
9,7,409,2026
10,7,11320,2026
11,7,6001,2026
12,7,18482,2026
13,7,1257,2026
15,7,144,2026
17,7,80,2026
18,7,5411,2026
1,79,6209,2026
2,79,2014,2026
5,79,4132,2026
6,79,3674,2026
7,79,181885,2026
8,79,270,2026
9,79,218,2026
10,79,7977,2026
11,79,3747,2026
12,79,20560,2026
13,79,1556,2026
14,79,40,2026
16,79,15,2026
18,79,9145,2026
1,77,15261,2026
2,77,5368,2026
3,77,340,2026
4,77,100,2026
5,77,20315,2026
6,77,19171,2026
7,77,46448,2026
8,77,30,2026
9,77,450,2026
10,77,22734,2026
11,77,33436,2026
12,77,65673,2026
13,77,9516,2026
14,77,305,2026
15,77,895,2026
17,77,200,2026
18,77,10999,2026
1,76,2746,2026
2,76,462,2026
4,76,100,2026
5,76,2888,2026
6,76,1728,2026
7,76,16814,2026
8,76,1430,2026
9,76,1608,2026
10,76,6473,2026
11,76,6025,2026
12,76,11982,2026
13,76,2606,2026
14,76,73,2026
15,76,496,2026
16,76,100,2026
17,76,75,2026
18,76,1365,2026
1,74,6203,2026
2,74,9808,2026
5,74,14601,2026
6,74,13547,2026
7,74,134608,2026
8,74,150,2026
9,74,3955,2026
10,74,51338,2026
11,74,28226,2026
12,74,199701,2026
13,74,1954,2026
17,74,20,2026
18,74,8302,2026
1,78,9000,2026
2,78,245,2026
3,78,750,2026
4,78,1500,2026
5,78,5060,2026
6,78,8606,2026
7,78,139295,2026
8,78,4315,2026
9,78,23910,2026
10,78,33879,2026
11,78,5900,2026
12,78,24085,2026
13,78,6187,2026
14,78,425,2026
15,78,1075,2026
16,78,1000,2026
17,78,2040,2026
18,78,9795,2026
1,75,45230,2026
2,75,11460,2026
5,75,22811,2026
6,75,23232,2026
7,75,27071,2026
8,75,135,2026
9,75,1470,2026
10,75,31430,2026
11,75,27860,2026
12,75,50230,2026
13,75,12955,2026
14,75,30,2026
15,75,90,2026
17,75,335,2026
18,75,49250,2026
1,76,133,2026
5,76,90,2026
7,76,210,2026
8,76,28,2026
9,76,60,2026
10,76,92,2026
12,76,285,2026
13,76,133,2026
14,76,30,2026
17,76,10,2026
18,76,335,2026
8,93,147163,2026
8,95,1295,2026
8,89,1065,2026
8,84,1400,2026
8,92,15725,2026
8,90,52625,2026
8,94,800,2026
8,86,1720,2026
7,87,3,2026
8,87,1547,2026
14,87,20,2026
8,81,11840,2026
8,80,2970,2026
8,88,968,2026
8,83,805,2026
12,127,37083,2026
12,122,1200,2026
12,124,28,2026
12,126,1120,2026
12,121,180,2026
2,133,365,2026
5,133,3457,2026
6,133,1759,2026
7,133,151,2026
10,133,20,2026
11,133,2070,2026
12,133,45,2026
18,133,3,2026
1,129,13,2026
2,129,1317,2026
5,129,474,2026
6,129,42,2026
10,129,51,2026
11,129,30,2026
12,129,34,2026
13,129,2757,2026
18,129,8733,2026
2,134,2137,2026
3,134,95,2026
5,134,21925,2026
6,134,6666,2026
7,134,987,2026
8,134,40,2026
10,134,351,2026
11,134,6054,2026
12,134,1001,2026
13,134,5,2026
18,134,166,2026
1,128,71,2026
2,128,3286,2026
5,128,2819,2026
6,128,1986,2026
10,128,1259,2026
11,128,1399,2026
12,128,1112,2026
18,128,2165,2026
2,131,2689,2026
5,131,24228,2026
6,131,48257,2026
7,131,10247,2026
10,131,1240,2026
11,131,3077,2026
12,131,4151,2026
13,131,412,2026
18,131,2,2026
5,130,9829,2026
6,130,11416,2026
7,130,4227,2026
10,130,1894,2026
11,130,2450,2026
12,130,3175,2026
18,130,30,2026
1,13,103,2026
2,13,1510,2026
5,13,7756,2026
6,13,7489,2026
7,13,2424,2026
10,13,1192,2026
11,13,1169,2026
12,13,1595,2026
18,13,1042,2026
14,144,1414,2026
4,140,606,2026
14,140,19030,2026
14,138,17895,2026
8,136,460,2026
14,136,345,2026
14,143,12320,2026
14,145,863,2026
4,149,222,2026
8,149,535,2026
14,149,26478,2026
14,147,1995,2026
4,150,144,2026
8,150,100,2026
14,150,10424,2026
14,139,5277,2026
14,137,2950,2026
7,170,25,2026
16,170,175,2026
16,177,30,2026
3,172,25,2026
16,174,75,2026
8,175,60,2026
1,192,90,2026
6,192,40,2026
10,192,50,2026
11,192,135,2026
12,192,30,2026
18,192,1185,2026
12,193,350,2026
13,193,250,2026
17,193,150,2026
18,193,44653,2026
1,194,8868,2026
5,194,4775,2026
6,194,655,2026
10,194,945,2026
11,194,960,2026
12,194,1070,2026
18,194,37865,2026
18,195,2722,2026
5,197,25,2026
7,197,25,2026
10,197,7,2026
11,197,20,2026
12,197,17,2026
13,197,5,2026
18,197,7436,2026
1,198,87,2026
2,198,20,2026
5,198,80,2026
6,198,35,2026
7,198,85,2026
10,198,18,2026
11,198,11,2026
13,198,62,2026
18,198,697,2026
1,199,7,2026
18,199,1014,2026
1,200,16155,2026
5,200,300,2026
6,200,370,2026
9,200,50,2026
10,200,2400,2026
11,200,420,2026
12,200,1065,2026
18,200,20220,2026
